Loading parameters

Initial system energy
-121435.20060834149 kJ/mol

Energy minimization: 5000 steps
-121472.88966925628 kJ/mol

MD run: 200000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
2.5%	5000	2.500000000000002	-102334.989286975	202.4595424929175	0	--
5.0%	10000	4.9999999999999485	-102599.22646523826	203.52576585480477	61.1	2:14
7.5%	15000	7.499999999998563	-102317.83295858139	201.0657849580803	60.4	2:12
10.0%	20000	10.00000000000073	-103554.8838079921	202.99665005276537	62	2:05
12.5%	25000	12.500000000003785	-102938.27882134402	203.23459087924255	63.4	1:59
15.0%	30000	15.00000000000684	-102738.15581706492	202.06629846178288	64.2	1:54
17.5%	35000	17.500000000004565	-102752.2987802201	199.8987013529564	64.6	1:50
20.0%	40000	19.99999999999874	-103052.49784442736	205.94452743925666	65	1:46
22.5%	45000	22.499999999992912	-103076.63157943357	202.99390375953806	65.4	1:42
25.0%	50000	24.999999999987086	-102385.05116751557	200.25502995303714	65.8	1:38
27.5%	55000	27.49999999998126	-103118.52275232226	203.304676607894	66	1:34
30.0%	60000	29.999999999975433	-103181.98731157789	201.8387659574606	66.2	1:31
32.5%	65000	32.499999999973156	-103571.0152725405	205.09759233958042	66.4	1:27
35.0%	70000	34.99999999998509	-102418.91859539412	198.82789215694393	66.6	1:24
37.5%	75000	37.49999999999703	-103065.3548071608	203.79444417278995	66.7	1:20
40.0%	80000	40.00000000000897	-102674.79482608056	200.22898266156315	66.8	1:17
42.5%	85000	42.500000000020904	-103380.40219025686	199.55975092998884	66.9	1:14
45.0%	90000	45.00000000003284	-103017.08323189802	204.12425667737062	67	1:10
47.5%	95000	47.50000000004478	-102656.25755125051	204.97852434226522	67.1	1:07
50.0%	100000	50.000000000056716	-103348.65543808416	203.51908123306364	67.1	1:04
52.5%	105000	52.50000000006865	-102842.9284711564	205.32534532120835	67.1	1:01
55.0%	110000	55.00000000008059	-103127.90334937954	203.3603845940593	67.2	0:57
57.5%	115000	57.50000000009253	-103802.97216126928	202.74029686118726	67.2	0:54
60.0%	120000	60.000000000104464	-102710.30819370272	199.520901583074	67.2	0:51
62.5%	125000	62.5000000001164	-102637.08472464932	202.36125593502854	67.2	0:48
65.0%	130000	65.00000000012834	-102465.9570710808	204.4221830223805	67.2	0:44
67.5%	135000	67.50000000014028	-102799.81649221666	201.0298796435777	67.2	0:41
70.0%	140000	70.00000000015221	-102964.85811008979	201.07973414382477	67.2	0:38
72.5%	145000	72.50000000016415	-102478.98459055321	203.88598439123516	67.1	0:35
75.0%	150000	75.00000000017609	-102928.0828395742	202.32668203938223	67.1	0:32
77.5%	155000	77.50000000018802	-101972.4671267434	200.62861511684156	67.1	0:28
80.0%	160000	80.00000000019996	-102899.66625425871	203.2234971432327	67.1	0:25
82.5%	165000	82.5000000002119	-102720.70870918315	205.4953829299059	67.1	0:22
85.0%	170000	85.00000000022384	-102767.87180067506	201.09559099736825	67	0:19
87.5%	175000	87.50000000023577	-103023.85797896283	197.60518952704345	67	0:16
90.0%	180000	90.00000000024771	-102816.74477413855	203.5752974145854	67	0:12
92.5%	185000	92.50000000025965	-102765.96878058976	204.9449829047922	66.9	0:09
95.0%	190000	95.00000000027158	-102919.2696875832	204.44289507073844	67	0:06
97.5%	195000	97.50000000028352	-102918.66357934754	202.55887966876753	67	0:03
100.0%	200000	100.00000000029546	-102593.85893332632	205.70534879512414	67	0:00
