Loading parameters

Initial system energy
-102593.86190879252 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
2.0%	205000	105.00000000031933	-102576.2342100027	206.53393138862845	0	--
2.1%	210000	110.0000000003432	-103247.18215680122	205.00043129957817	133	1:45:46
2.1%	215000	115.00000000036708	-103328.94395587221	203.33874496132935	132	1:46:49
2.2%	220000	120.00000000039095	-102652.03176740464	199.9748109477554	132	1:46:29
2.2%	225000	125.00000000041483	-103027.78720832942	201.30450605309895	131	1:47:09
2.3%	230000	130.0000000004387	-102920.99256667495	202.87589409252686	131	1:47:01
2.4%	235000	135.00000000046256	-102659.23723275214	199.97178413109154	131	1:47:26
2.4%	240000	140.00000000048644	-102984.47012772784	198.59951437634595	130	1:48:00
2.5%	245000	145.0000000005103	-103667.71874252148	204.51644359440448	130	1:47:46
2.5%	250000	150.0000000005342	-102736.21065781452	201.58796529650206	131	1:47:34
2.5%	255000	155.00000000055806	-103721.92567323986	201.32073269996016	131	1:47:24
2.6%	260000	160.00000000058193	-102755.89179764409	199.0383738070324	131	1:47:24
2.6%	265000	165.0000000006058	-103048.12793133454	202.37745814673158	131	1:47:16
2.7%	270000	170.00000000062968	-103094.18878480559	198.58893127857957	131	1:47:09
2.8%	275000	175.00000000065356	-102431.43331395742	198.1132767658479	131	1:47:04
2.8%	280000	180.00000000067743	-102252.6542899902	204.3016652110991	131	1:47:11
2.9%	285000	185.0000000007013	-102452.91217679717	200.44814801074156	131	1:47:09
2.9%	290000	190.00000000072518	-102314.17206749739	205.69494954385928	131	1:47:06
3.0%	295000	195.00000000074905	-103307.10175497364	197.84705277368187	130	1:47:06
3.0%	300000	200.00000000077293	-102694.4711573692	202.11440859396828	130	1:47:13
3.0%	305000	205.0000000007968	-101938.0530969766	201.84300813059488	130	1:47:11
3.1%	310000	210.00000000082068	-102351.27138346946	201.22002748306008	130	1:47:11
3.1%	315000	215.00000000084455	-102902.25468480587	204.0226154307596	130	1:47:08
3.2%	320000	220.00000000086843	-102635.47196372226	204.52100473582848	130	1:47:07
3.2%	325000	225.0000000008923	-102495.24571477203	197.86429857187312	130	1:47:10
3.3%	330000	230.00000000091617	-102934.27459692303	202.3803078475053	130	1:47:08
3.4%	335000	235.00000000094005	-102469.87532295426	201.00889354947694	130	1:47:06
3.4%	340000	240.00000000096392	-103041.38670249144	206.01508899186962	130	1:47:05
3.5%	345000	245.0000000009878	-102806.621783345	200.427999831505	130	1:47:14
3.5%	350000	250.00000000101167	-102981.00853449525	202.32362545637366	130	1:47:12
3.5%	355000	255.00000000103554	-102800.34466947429	200.46748705950978	130	1:47:10
3.6%	360000	260.0000000009457	-103021.57084145257	203.68303402492847	130	1:47:08
3.6%	365000	265.00000000082747	-102520.0585111049	203.20787091740536	129	1:47:09
3.7%	370000	270.00000000070924	-102777.32346601831	202.7859375948925	129	1:47:10
3.8%	375000	275.000000000591	-102490.19730270654	202.18833190675224	129	1:47:07
3.8%	380000	280.00000000047277	-102939.58313537063	204.01430217633836	129	1:47:04
3.9%	385000	285.00000000035453	-103444.81786918594	202.43944401279384	129	1:47:04
3.9%	390000	290.0000000002363	-102787.88369253604	203.99074882620894	129	1:47:01
4.0%	395000	295.00000000011806	-102540.48936947808	206.32893793469108	129	1:46:58
4.0%	400000	299.99999999999983	-103079.6776826703	202.65201041339148	129	1:46:56
4.0%	405000	304.9999999998816	-103169.66450063838	202.08398886267224	129	1:46:55
4.1%	410000	309.99999999976336	-102148.57599842502	203.143715944664	129	1:46:51
4.2%	415000	314.9999999996451	-103363.0354409325	201.05999657827746	129	1:46:48
4.2%	420000	319.9999999995269	-102882.77684980305	202.23096333247187	129	1:46:45
4.2%	425000	324.99999999940866	-102306.18756947108	203.4614424927669	129	1:46:42
4.3%	430000	329.9999999992904	-102790.9736513109	205.96216251705223	129	1:46:41
4.3%	435000	334.9999999991722	-102616.68722639931	198.54784930149816	129	1:46:37
4.4%	440000	339.99999999905395	-102364.14861443918	201.81955183304527	129	1:46:34
4.5%	445000	344.9999999989357	-102923.0504223723	199.8803831596768	129	1:46:31
4.5%	450000	349.9999999988175	-103508.14950790303	200.32788299742393	129	1:46:30
4.5%	455000	354.99999999869925	-102942.21495460207	203.40904288232144	129	1:46:26
4.6%	460000	359.999999998581	-102980.67499897769	202.2944067697192	129	1:46:23
4.7%	465000	364.9999999984628	-102172.43049614737	202.44897958948062	129	1:46:20
4.7%	470000	369.99999999834455	-102181.81699215807	200.59816869877943	129	1:46:18
4.8%	475000	374.9999999982263	-101534.93628992792	202.07106811645144	129	1:46:16
4.8%	480000	379.9999999981081	-102474.77099733101	204.13568967073977	129	1:46:12
4.8%	485000	384.99999999798985	-103087.60320130363	200.51376705524456	129	1:46:09
4.9%	490000	389.9999999978716	-102562.61711125355	201.5080148764329	129	1:46:07
5.0%	495000	394.9999999977534	-102725.77712193131	202.96978975586302	129	1:46:03
5.0%	500000	399.99999999763514	-102341.71285969345	201.73084311988248	129	1:45:59
5.0%	505000	404.9999999975169	-102829.9901818703	202.4738115048447	129	1:45:55
5.1%	510000	409.9999999973987	-103004.65308110509	203.4322224092562	129	1:45:51
5.2%	515000	414.99999999728044	-102915.01253929874	203.71697416355346	129	1:45:49
5.2%	520000	419.9999999971622	-102605.31795249274	203.20367068916653	129	1:45:45
5.2%	525000	424.999999997044	-102942.46303272294	201.7791685227178	129	1:45:40
5.3%	530000	429.99999999692574	-102339.0926284017	204.24395727129664	129	1:45:36
5.3%	535000	434.9999999968075	-102633.96866026474	199.71793604323662	129	1:45:33
5.4%	540000	439.99999999668927	-102997.45616177656	201.75432038331604	129	1:45:29
5.5%	545000	444.99999999657103	-102745.92871881137	202.41763206152217	129	1:45:24
5.5%	550000	449.9999999964528	-103616.66213212395	203.5434517752758	129	1:45:20
5.5%	555000	454.99999999633457	-102297.63933607144	203.67388470104748	129	1:45:16
5.6%	560000	459.99999999621633	-102135.12987537077	203.12735867030665	129	1:45:12
5.7%	565000	464.9999999960981	-102454.33576495294	204.0970039928979	129	1:45:07
5.7%	570000	469.99999999597986	-102951.6422818806	198.8951701569657	129	1:45:02
5.8%	575000	474.99999999586163	-102832.68907831656	201.9070531119193	129	1:44:59
5.8%	580000	479.9999999957434	-103201.95185643248	205.5955413498236	129	1:44:55
5.8%	585000	484.99999999562516	-102490.32285566535	205.9892450791821	129	1:44:50
5.9%	590000	489.9999999955069	-102571.27783574117	203.19196283091492	129	1:44:46
6.0%	595000	494.9999999953887	-102446.62942707539	201.27046629230333	129	1:44:42
6.0%	600000	499.99999999527046	-104088.43090260122	205.56922145949787	129	1:44:38
6.0%	605000	504.9999999951522	-102561.32886203798	204.0047107820337	129	1:44:33
6.1%	610000	509.999999995034	-102824.78812610265	203.0926242712588	129	1:44:29
