Loading parameters

Initial system energy
-120925.49915007642 kJ/mol

Energy minimization: 5000 steps
-120924.851703641 kJ/mol

MD run: 200000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
2.5%	5000	2.500000000000002	-102826.76732797408	202.61448036988926	0	--
5.0%	10000	4.9999999999999485	-101876.72678528493	198.1203544151627	70.7	1:56
7.5%	15000	7.499999999998563	-101944.11525362032	200.26651056884228	70.4	1:53
10.0%	20000	10.00000000000073	-102060.08364738943	203.45832391062342	71.1	1:49
12.5%	25000	12.500000000003785	-101885.51076640049	200.6932828832301	71.3	1:46
15.0%	30000	15.00000000000684	-102032.74722585734	203.13253715946013	71.2	1:43
17.5%	35000	17.500000000004565	-102444.62286047311	199.38370068966003	71.3	1:39
20.0%	40000	19.99999999999874	-102793.36256555747	201.52313112310213	71	1:37
22.5%	45000	22.499999999992912	-102150.5054603857	201.17287112667915	70.9	1:34
25.0%	50000	24.999999999987086	-102273.78802798549	203.9119730074081	70.7	1:31
27.5%	55000	27.49999999998126	-102091.93378978688	202.65129003202927	70.7	1:28
30.0%	60000	29.999999999975433	-101573.01063601766	202.4991177839862	70.6	1:25
32.5%	65000	32.499999999973156	-101443.51681909431	202.58487046823242	70.7	1:22
35.0%	70000	34.99999999998509	-102305.34979405813	198.73425411524943	70.6	1:19
37.5%	75000	37.49999999999703	-102113.59569708677	202.09431246162026	70.5	1:16
40.0%	80000	40.00000000000897	-102345.28267285414	205.82752422119106	70.3	1:13
42.5%	85000	42.500000000020904	-102069.64507122478	202.53991440445674	70.3	1:10
45.0%	90000	45.00000000003284	-102490.32021430414	200.83781489064114	70.3	1:07
47.5%	95000	47.50000000004478	-102492.02261971124	198.52616381751037	70.4	1:04
50.0%	100000	50.000000000056716	-102400.02102968423	201.1174236860543	70.3	1:01
52.5%	105000	52.50000000006865	-102723.59247237444	204.47932732737488	70.3	0:58
55.0%	110000	55.00000000008059	-101896.49527978245	201.34879974816818	70.2	0:55
57.5%	115000	57.50000000009253	-102271.1496549896	205.19082558645871	70.2	0:52
60.0%	120000	60.000000000104464	-102435.76833425462	202.14180369973428	70.1	0:49
62.5%	125000	62.5000000001164	-102116.15440776851	203.63962924272008	69.9	0:46
65.0%	130000	65.00000000012834	-102196.4165307032	200.19090017598631	69.8	0:43
67.5%	135000	67.50000000014028	-102317.94746167725	201.98778434442744	69.8	0:40
70.0%	140000	70.00000000015221	-102086.09958292777	204.1949772153947	69.8	0:37
72.5%	145000	72.50000000016415	-102085.5339467749	196.60487145115965	69.7	0:34
75.0%	150000	75.00000000017609	-102282.97957842471	202.24588930318816	69.6	0:31
77.5%	155000	77.50000000018802	-102232.47926964145	198.9450476661958	69.6	0:27
80.0%	160000	80.00000000019996	-102588.37699279794	202.53379030736068	69.6	0:24
82.5%	165000	82.5000000002119	-102597.71721414104	202.55693568651998	69.5	0:21
85.0%	170000	85.00000000022384	-102393.11494518118	201.81109073967838	69.4	0:18
87.5%	175000	87.50000000023577	-101504.55638133502	196.62234406055725	69.4	0:15
90.0%	180000	90.00000000024771	-102229.49740864243	198.3437990586672	69.4	0:12
92.5%	185000	92.50000000025965	-101531.2425386589	203.98492251914348	69.3	0:09
95.0%	190000	95.00000000027158	-101367.52787378617	203.20161487911258	69.3	0:06
97.5%	195000	97.50000000028352	-102236.35523665603	201.25226279743097	69.3	0:03
100.0%	200000	100.00000000029546	-102740.39431775454	198.76126458256516	69.3	0:00
