Loading parameters

Initial system energy
-102740.39344255207 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
2.0%	205000	105.00000000031933	-102097.5816662237	200.49431364662672	0	--
2.1%	210000	110.0000000003432	-102044.52133586723	202.32917302052343	135	1:44:08
2.1%	215000	115.00000000036708	-102625.60009026155	199.30941208723198	134	1:45:24
2.2%	220000	120.00000000039095	-102493.77433673013	202.5235797200659	134	1:45:02
2.2%	225000	125.00000000041483	-101433.43173335539	202.7219991653739	134	1:44:53
2.3%	230000	130.0000000004387	-102248.95077053132	198.2512826426207	134	1:44:48
2.4%	235000	135.00000000046256	-102208.84535298496	206.62702444195187	134	1:44:48
2.4%	240000	140.00000000048644	-102188.15873323707	201.3716090606306	134	1:45:03
2.5%	245000	145.0000000005103	-102433.48897098843	204.936858411535	134	1:45:01
2.5%	250000	150.0000000005342	-102161.86360106943	203.1752759082845	134	1:44:58
2.5%	255000	155.00000000055806	-102626.79258389119	201.1723183012775	134	1:44:56
2.6%	260000	160.00000000058193	-102084.64217882417	202.02455347079695	133	1:45:05
2.6%	265000	165.0000000006058	-101767.04200996552	198.06748689752501	133	1:45:02
2.7%	270000	170.00000000062968	-102560.6946322606	200.34749059759093	133	1:45:00
2.8%	275000	175.00000000065356	-101963.61380150262	200.1845230344074	133	1:44:59
2.8%	280000	180.00000000067743	-102298.31650751084	202.36905394354636	133	1:45:04
2.9%	285000	185.0000000007013	-102214.74564813124	202.52726468174728	133	1:45:02
2.9%	290000	190.00000000072518	-102478.95628469251	200.6672084487627	133	1:45:00
3.0%	295000	195.00000000074905	-101536.94795967638	202.2960615363347	133	1:44:58
3.0%	300000	200.00000000077293	-101931.37942093844	200.6690631637314	133	1:45:01
3.0%	305000	205.0000000007968	-102405.8729452989	200.53294169165832	133	1:44:59
3.1%	310000	210.00000000082068	-102270.69356792979	201.76595158834863	133	1:44:56
3.1%	315000	215.00000000084455	-101822.75588946184	199.45764626401476	133	1:44:53
3.2%	320000	220.00000000086843	-101703.32405425748	199.4704804867605	133	1:44:51
3.2%	325000	225.0000000008923	-101741.79123654729	202.74959197672132	133	1:44:53
3.3%	330000	230.00000000091617	-101787.88872973109	199.09510932516332	133	1:44:50
3.4%	335000	235.00000000094005	-102420.76645704964	201.30349600675825	133	1:44:47
3.4%	340000	240.00000000096392	-102514.84716145275	202.2994488168417	133	1:44:43
3.5%	345000	245.0000000009878	-102223.6921381806	199.64787440862537	133	1:44:44
3.5%	350000	250.00000000101167	-102341.26758505404	202.07647975973777	133	1:44:41
3.5%	355000	255.00000000103554	-102601.70670857932	199.48212152732916	133	1:44:38
3.6%	360000	260.0000000009457	-102582.58263393538	203.58851894974356	133	1:44:36
3.6%	365000	265.00000000082747	-101739.61254079686	201.0930519371277	133	1:44:37
3.7%	370000	270.00000000070924	-102338.68530189386	199.85476687142184	133	1:44:33
3.8%	375000	275.000000000591	-102507.87338738609	200.61370776230044	133	1:44:30
3.8%	380000	280.00000000047277	-102153.52707646694	200.47746376627333	133	1:44:27
3.9%	385000	285.00000000035453	-102296.20385471173	204.43393386154702	133	1:44:27
3.9%	390000	290.0000000002363	-101437.1181194447	201.4265019273205	133	1:44:23
4.0%	395000	295.00000000011806	-102435.42143583065	201.69118655584694	133	1:44:20
4.0%	400000	299.99999999999983	-102591.35221709404	202.82838266237252	133	1:44:16
4.0%	405000	304.9999999998816	-102869.28584860777	205.49136742791163	132	1:44:16
4.1%	410000	309.99999999976336	-102189.39694670681	202.36562100752755	132	1:44:14
4.2%	415000	314.9999999996451	-102825.14679092914	204.0904211021652	132	1:44:11
4.2%	420000	319.9999999995269	-101930.51589624165	203.14442151588602	132	1:44:08
4.2%	425000	324.99999999940866	-102262.90578679135	201.8566267831854	132	1:44:05
4.3%	430000	329.9999999992904	-101876.74530797824	201.25035368044942	132	1:44:05
4.3%	435000	334.9999999991722	-102392.59497206844	203.0307323157117	132	1:44:02
4.4%	440000	339.99999999905395	-102380.21819721302	200.97686262233265	132	1:43:59
4.5%	445000	344.9999999989357	-102649.97130442085	200.11325929235952	132	1:43:57
4.5%	450000	349.9999999988175	-102594.64358138153	204.25219822749364	132	1:43:56
4.5%	455000	354.99999999869925	-102667.49369489262	200.8911665694806	132	1:43:54
4.6%	460000	359.999999998581	-102082.7732436508	200.02797470066332	132	1:43:52
4.7%	465000	364.9999999984628	-102178.01788284397	201.80658884457458	132	1:43:50
4.7%	470000	369.99999999834455	-102422.77520411368	203.12795230022343	132	1:43:49
4.8%	475000	374.9999999982263	-102540.52316897362	201.96275779439188	132	1:43:47
4.8%	480000	379.9999999981081	-101796.99817311764	202.10253215769407	132	1:43:44
4.8%	485000	384.99999999798985	-103179.01324542658	203.0153989716773	132	1:43:42
4.9%	490000	389.9999999978716	-102565.93227248499	204.6915145991124	132	1:43:42
5.0%	495000	394.9999999977534	-102208.22441313136	203.61897827512018	132	1:43:40
5.0%	500000	399.99999999763514	-102436.17173314653	200.61644472322018	132	1:43:37
5.0%	505000	404.9999999975169	-102054.9626099444	195.82479583966798	132	1:43:35
5.1%	510000	409.9999999973987	-102699.24924139772	197.9439305742948	132	1:43:32
5.2%	515000	414.99999999728044	-102836.63114507822	203.12406237480494	132	1:43:32
5.2%	520000	419.9999999971622	-101731.6163886683	200.52695143068254	132	1:43:29
5.2%	525000	424.999999997044	-102427.00446103606	200.0582995521961	132	1:43:27
5.3%	530000	429.99999999692574	-102377.24467240367	203.91024556018778	132	1:43:24
5.3%	535000	434.9999999968075	-102366.45244038245	205.37575623758954	132	1:43:23
5.4%	540000	439.99999999668927	-102413.87952044001	201.99044171990928	132	1:43:21
5.5%	545000	444.99999999657103	-101899.89246664057	200.80891114010237	132	1:43:19
5.5%	550000	449.9999999964528	-101931.03297357215	203.79400308215654	132	1:43:16
5.5%	555000	454.99999999633457	-101835.5280232341	197.86412252034327	132	1:43:15
5.6%	560000	459.99999999621633	-102401.97727932408	206.17245268052818	132	1:43:12
5.7%	565000	464.9999999960981	-102629.61123399297	201.40495032787052	132	1:43:09
5.7%	570000	469.99999999597986	-101895.08312253468	202.25977456509025	132	1:43:07
5.8%	575000	474.99999999586163	-102348.21159466868	205.98100404283113	132	1:43:06
5.8%	580000	479.9999999957434	-102574.3804933913	204.8512974900434	132	1:43:03
5.8%	585000	484.99999999562516	-102043.3692055787	202.30516559017005	132	1:43:00
5.9%	590000	489.9999999955069	-102389.57522486802	201.89062616076728	132	1:42:57
6.0%	595000	494.9999999953887	-101397.88274421683	205.52057372441135	132	1:42:56
6.0%	600000	499.99999999527046	-102421.39167648787	200.07804793342882	132	1:42:53
6.0%	605000	504.9999999951522	-102032.541381218	203.454179333069	132	1:42:50
6.1%	610000	509.999999995034	-101874.84713454964	200.51368151810144	132	1:42:48
6.2%	615000	514.9999999949158	-102342.91469163867	200.31098029558584	132	1:42:45
6.2%	620000	519.9999999947976	-102181.49182030838	202.42857642225488	131	1:42:44
6.2%	625000	524.9999999946793	-102275.48450231506	196.57205160391436	131	1:42:41
6.3%	630000	529.9999999945611	-102541.90483912127	199.63792675297734	131	1:42:38
6.3%	635000	534.9999999944429	-102277.02910534898	204.78976586880262	131	1:42:35
6.4%	640000	539.9999999943246	-102621.33288459852	200.89904092290874	131	1:42:33
6.5%	645000	544.9999999942064	-102485.25648832694	202.8071998958356	131	1:42:30
6.5%	650000	549.9999999940882	-102462.9849838852	200.18864238493168	131	1:42:27
6.5%	655000	554.9999999939699	-102534.37345524598	202.43686618048557	131	1:42:24
6.6%	660000	559.9999999938517	-102774.85124565894	199.01498812886865	131	1:42:20
6.7%	665000	564.9999999937335	-102633.68283262942	201.50882107378297	131	1:42:18
6.7%	670000	569.9999999936152	-101951.6340765804	202.7458006750306	131	1:42:15
6.8%	675000	574.999999993497	-101885.6471386659	199.53911666847253	131	1:42:11
6.8%	680000	579.9999999933788	-101590.7532680775	196.18588215755065	131	1:42:08
6.8%	685000	584.9999999932605	-101847.55505681876	202.96973030014138	131	1:42:05
6.9%	690000	589.9999999931423	-102358.6400091513	198.95548038874603	131	1:42:02
7.0%	695000	594.9999999930241	-102200.72918905038	204.02741749475342	131	1:41:58
7.0%	700000	599.9999999929058	-101911.3730765977	204.59806319165102	131	1:41:55
7.0%	705000	604.9999999927876	-101885.55472920975	200.64123725404866	131	1:41:52
7.1%	710000	609.9999999926694	-101579.86712046852	199.09556073753305	131	1:41:49
7.2%	715000	614.9999999925511	-101571.5859751557	203.3983376485281	131	1:41:45
7.2%	720000	619.9999999924329	-102251.02322573354	205.99175568017074	131	1:41:41
7.2%	725000	624.9999999923147	-102259.3579664533	202.8857369544242	131	1:41:39
